security_id,market,primary_theme,cell_id,cell_target_weight,final_target_weight,weighting_status,weighting_rule_version
064400,KR,AI_ROBOTICS,KR_AI_ROBOTICS,0.16666666666666666,0.08333333333333333,TEMPORARY,v0.9-pilot
307950,KR,AI_ROBOTICS,KR_AI_ROBOTICS,0.16666666666666666,0.08333333333333333,TEMPORARY,v0.9-pilot
TER,US,AI_ROBOTICS,US_AI_ROBOTICS,0.16666666666666666,0.05555555555555555,TEMPORARY,v0.9-pilot
ANET,US,AI_ROBOTICS,US_AI_ROBOTICS,0.16666666666666666,0.05555555555555555,TEMPORARY,v0.9-pilot
ALAB,US,AI_ROBOTICS,US_AI_ROBOTICS,0.16666666666666666,0.05555555555555555,TEMPORARY,v0.9-pilot
010120,KR,ENERGY_POWER,KR_ENERGY_POWER,0.16666666666666666,0.05555555555555555,TEMPORARY,v0.9-pilot
267260,KR,ENERGY_POWER,KR_ENERGY_POWER,0.16666666666666666,0.05555555555555555,TEMPORARY,v0.9-pilot
298040,KR,ENERGY_POWER,KR_ENERGY_POWER,0.16666666666666666,0.05555555555555555,TEMPORARY,v0.9-pilot
GEV,US,ENERGY_POWER,US_ENERGY_POWER,0.16666666666666666,0.05555555555555555,TEMPORARY,v0.9-pilot
ETN,US,ENERGY_POWER,US_ENERGY_POWER,0.16666666666666666,0.05555555555555555,TEMPORARY,v0.9-pilot
APH,US,ENERGY_POWER,US_ENERGY_POWER,0.16666666666666666,0.05555555555555555,TEMPORARY,v0.9-pilot
012450,KR,SPACE_DEFENSE,KR_SPACE_DEFENSE,0.16666666666666666,0.05555555555555555,TEMPORARY,v0.9-pilot
064350,KR,SPACE_DEFENSE,KR_SPACE_DEFENSE,0.16666666666666666,0.05555555555555555,TEMPORARY,v0.9-pilot
079550,KR,SPACE_DEFENSE,KR_SPACE_DEFENSE,0.16666666666666666,0.05555555555555555,TEMPORARY,v0.9-pilot
KTOS,US,SPACE_DEFENSE,US_SPACE_DEFENSE,0.16666666666666666,0.16666666666666666,TEMPORARY,v0.9-pilot
